modeldate,candidate_name,entrance,exit,mean_pct
2019-03-01,Amy Klobuchar,2019-03-01,2020-02-23,2.1510135
2019-03-02,Amy Klobuchar,2019-03-01,2020-02-23,2.152732
2019-03-03,Amy Klobuchar,2019-03-01,2020-02-23,2.152732
2019-03-04,Amy Klobuchar,2019-03-01,2020-02-23,2.2529589
2019-03-05,Amy Klobuchar,2019-03-01,2020-02-23,2.3303383
2019-03-06,Amy Klobuchar,2019-03-01,2020-02-23,2.3303383
2019-03-07,Amy Klobuchar,2019-03-01,2020-02-23,2.3303383
2019-03-08,Amy Klobuchar,2019-03-01,2020-02-23,2.3303383
2019-03-09,Amy Klobuchar,2019-03-01,2020-02-23,2.3303383
2019-03-10,Amy Klobuchar,2019-03-01,2020-02-23,2.3333936
2019-03-11,Amy Klobuchar,2019-03-01,2020-02-23,2.2246949
2019-03-12,Amy Klobuchar,2019-03-01,2020-02-23,2.2246949
2019-03-13,Amy Klobuchar,2019-03-01,2020-02-23,2.2246949
2019-03-14,Amy Klobuchar,2019-03-01,2020-02-23,2.2246949
2019-03-15,Amy Klobuchar,2019-03-01,2020-02-23,2.2246949
2019-03-16,Amy Klobuchar,2019-03-01,2020-02-23,2.2246949
2019-03-17,Amy Klobuchar,2019-03-01,2020-02-23,2.2284348
2019-03-18,Amy Klobuchar,2019-03-01,2020-02-23,2.1497116
2019-03-19,Amy Klobuchar,2019-03-01,2020-02-23,1.627031
2019-03-20,Amy Klobuchar,2019-03-01,2020-02-23,1.627031
2019-03-21,Amy Klobuchar,2019-03-01,2020-02-23,1.5431735
2019-03-22,Amy Klobuchar,2019-03-01,2020-02-23,1.5448414
2019-03-23,Amy Klobuchar,2019-03-01,2020-02-23,1.5448414
2019-03-24,Amy Klobuchar,2019-03-01,2020-02-23,1.5588461
2019-03-25,Amy Klobuchar,2019-03-01,2020-02-23,1.5178461
2019-03-26,Amy Klobuchar,2019-03-01,2020-02-23,1.606752
2019-03-27,Amy Klobuchar,2019-03-01,2020-02-23,1.6016568
2019-03-28,Amy Klobuchar,2019-03-01,2020-02-23,1.6023269
2019-03-29,Amy Klobuchar,2019-03-01,2020-02-23,1.6023269
2019-03-30,Amy Klobuchar,2019-03-01,2020-02-23,1.6023269
2019-03-31,Amy Klobuchar,2019-03-01,2020-02-23,1.6028463
2019-04-01,Amy Klobuchar,2019-03-01,2020-02-23,1.6317479
2019-04-02,Amy Klobuchar,2019-03-01,2020-02-23,1.6317479
2019-04-03,Amy Klobuchar,2019-03-01,2020-02-23,1.6317479
2019-04-04,Amy Klobuchar,2019-03-01,2020-02-23,1.6317479
2019-04-05,Amy Klobuchar,2019-03-01,2020-02-23,1.6319275
2019-04-06,Amy Klobuchar,2019-03-01,2020-02-23,1.6319275
2019-04-07,Amy Klobuchar,2019-03-01,2020-02-23,1.5587771
2019-04-08,Amy Klobuchar,2019-03-01,2020-02-23,1.5882678
2019-04-09,Amy Klobuchar,2019-03-01,2020-02-23,1.5757306
2019-04-10,Amy Klobuchar,2019-03-01,2020-02-23,1.5752823
2019-04-11,Amy Klobuchar,2019-03-01,2020-02-23,1.5854639
2019-04-12,Amy Klobuchar,2019-03-01,2020-02-23,1.5854639
2019-04-13,Amy Klobuchar,2019-03-01,2020-02-23,1.5854639
2019-04-14,Amy Klobuchar,2019-03-01,2020-02-23,1.5854639
2019-04-15,Amy Klobuchar,2019-03-01,2020-02-23,1.3587273
2019-04-16,Amy Klobuchar,2019-03-01,2020-02-23,1.4696691
2019-04-17,Amy Klobuchar,2019-03-01,2020-02-23,1.4696691
2019-04-18,Amy Klobuchar,2019-03-01,2020-02-23,1.4696691
2019-04-19,Amy Klobuchar,2019-03-01,2020-02-23,1.466856
2019-04-20,Amy Klobuchar,2019-03-01,2020-02-23,1.4004306
2019-04-21,Amy Klobuchar,2019-03-01,2020-02-23,1.4004306
2019-04-22,Amy Klobuchar,2019-03-01,2020-02-23,1.3965593
2019-04-23,Amy Klobuchar,2019-03-01,2020-02-23,1.3964222
2019-04-24,Amy Klobuchar,2019-03-01,2020-02-23,1.3319148
2019-04-25,Amy Klobuchar,2019-03-01,2020-02-23,1.3319148
2019-04-26,Amy Klobuchar,2019-03-01,2020-02-23,1.2942387
2019-04-27,Amy Klobuchar,2019-03-01,2020-02-23,1.2942387
2019-04-28,Amy Klobuchar,2019-03-01,2020-02-23,1.2942387
2019-04-29,Amy Klobuchar,2019-03-01,2020-02-23,1.2789713
2019-04-30,Amy Klobuchar,2019-03-01,2020-02-23,1.2251792
2019-05-01,Amy Klobuchar,2019-03-01,2020-02-23,1.237713
2019-05-02,Amy Klobuchar,2019-03-01,2020-02-23,1.266242
2019-05-03,Amy Klobuchar,2019-03-01,2020-02-23,1.26323
2019-05-04,Amy Klobuchar,2019-03-01,2020-02-23,1.26323
2019-05-05,Amy Klobuchar,2019-03-01,2020-02-23,1.1816015
2019-05-06,Amy Klobuchar,2019-03-01,2020-02-23,1.2320387
2019-05-07,Amy Klobuchar,2019-03-01,2020-02-23,1.2320387
