n1,n2,beta,s1,s2
1,9,2,1.59E-06,-1.76E-07
2,8,2,6.17E-06,-1.54E-06
3,7,2,2.32E-06,-9.94E-07
4,6,2,5.49E-07,-3.66E-07
5,5,2,-1.83E-06,1.83E-06
1,9,2.1,0.333635159,-0.037070573
2,8,2.1,0.296564586,-0.074141147
3,7,2.1,0.259494013,-0.11121172
4,6,2.1,0.22242344,-0.148282293
5,5,2.1,0.185352866,-0.185352866
1,9,2.2,0.452646517,-0.050294057
2,8,2.2,0.40235246,-0.100588115
3,7,2.2,0.352058402,-0.150882172
4,6,2.2,0.301764345,-0.20117623
5,5,2.2,0.251470287,-0.251470287
1,9,2.3,0.532939473,-0.059215497
2,8,2.3,0.473723976,-0.118430994
3,7,2.3,0.414508479,-0.177646491
4,6,2.3,0.355292982,-0.236861988
5,5,2.3,0.296077485,-0.296077485
1,9,2.4,0.592712694,-0.065856966
2,8,2.4,0.526855728,-0.131713932
3,7,2.4,0.460998762,-0.197570898
4,6,2.4,0.395141796,-0.263427864
5,5,2.4,0.32928483,-0.32928483
1,9,2.5,0.639370605,-0.071041178
2,8,2.5,0.568329427,-0.142082357
3,7,2.5,0.497288248,-0.213123535
4,6,2.5,0.42624707,-0.284164713
5,5,2.5,0.355205892,-0.355205892
1,9,2.6,0.676851873,-0.075205764
2,8,2.6,0.601646109,-0.150411527
3,7,2.6,0.526440346,-0.225617291
4,6,2.6,0.451234582,-0.300823055
5,5,2.6,0.376028818,-0.376028818
1,9,2.7,0.707557033,-0.078617448
2,8,2.7,0.628939584,-0.157234896
3,7,2.7,0.550322136,-0.235852344
4,6,2.7,0.471704688,-0.314469792
5,5,2.7,0.39308724,-0.39308724
1,9,2.8,0.733075678,-0.081452853
2,8,2.8,0.651622825,-0.162905706
3,7,2.8,0.570169972,-0.244358559
4,6,2.8,0.488717119,-0.325811412
5,5,2.8,0.407264266,-0.407264266
1,9,2.9,0.754520826,-0.083835647
2,8,2.9,0.670685179,-0.167671295
3,7,2.9,0.586849531,-0.251506942
4,6,2.9,0.503013884,-0.335342589
5,5,2.9,0.419178237,-0.419178237
1,9,3,0.772703673,-0.085855964
2,8,3,0.686847709,-0.171711927
3,7,3,0.600991746,-0.257567891
4,6,3,0.515135782,-0.343423855
5,5,3,0.429279818,-0.429279818
1,9,3.1,0.788233562,-0.087581507
2,8,3.1,0.700652055,-0.175163014
3,7,3.1,0.613070548,-0.262744521
4,6,3.1,0.525489041,-0.350326028
5,5,3.1,0.437907535,-0.437907535
1,9,3.2,0.801579131,-0.089064348
2,8,3.2,0.712514783,-0.178128696
3,7,3.2,0.623450435,-0.267193044
4,6,3.2,0.534386087,-0.356257391
5,5,3.2,0.445321739,-0.445321739
1,9,3.3,0.813107694,-0.090345299
2,8,3.3,0.722762395,-0.180690599
3,7,3.3,0.632417096,-0.271035898
