n1,n2,beta,s1,s2
1,9,2,1.33E-06,-1.48E-07
2,8,2,1.36E-06,-3.41E-07
3,7,2,1.79E-06,-7.66E-07
4,6,2,3.70E-06,-2.47E-06
5,5,2,1.69E-06,-1.69E-06
1,9,2.05,0.241065684,-0.026785076
2,8,2.05,0.214280608,-0.053570152
3,7,2.05,0.187495532,-0.080355228
4,6,2.05,0.160710456,-0.107140304
5,5,2.05,0.13392538,-0.13392538
1,9,2.1,0.333635159,-0.037070573
2,8,2.1,0.296564586,-0.074141147
3,7,2.1,0.259494013,-0.11121172
4,6,2.1,0.22242344,-0.148282293
5,5,2.1,0.185352866,-0.185352866
1,9,2.15,0.400115916,-0.044457324
2,8,2.15,0.355658592,-0.088914648
3,7,2.15,0.311201268,-0.133371972
4,6,2.15,0.266743944,-0.177829296
5,5,2.15,0.22228662,-0.22228662
1,9,2.2,0.452646517,-0.050294057
2,8,2.2,0.40235246,-0.100588115
3,7,2.2,0.352058402,-0.150882172
4,6,2.2,0.301764345,-0.20117623
5,5,2.2,0.251470287,-0.251470287
1,9,2.25,0.496070246,-0.055118916
2,8,2.25,0.44095133,-0.110237832
3,7,2.25,0.385832414,-0.165356749
4,6,2.25,0.330713497,-0.220475665
5,5,2.25,0.275594581,-0.275594581
1,9,2.3,0.532939473,-0.059215497
2,8,2.3,0.473723976,-0.118430994
3,7,2.3,0.414508479,-0.177646491
4,6,2.3,0.355292982,-0.236861988
5,5,2.3,0.296077485,-0.296077485
1,9,2.35,0.564808466,-0.062756496
2,8,2.35,0.50205197,-0.125512992
3,7,2.35,0.439295474,-0.188269489
4,6,2.35,0.376538977,-0.251025985
5,5,2.35,0.313782481,-0.313782481
1,9,2.4,0.592712694,-0.065856966
2,8,2.4,0.526855728,-0.131713932
3,7,2.4,0.460998762,-0.197570898
4,6,2.4,0.395141796,-0.263427864
5,5,2.4,0.32928483,-0.32928483
1,9,2.45,0.617385662,-0.068598407
2,8,2.45,0.548787255,-0.137196814
3,7,2.45,0.480188848,-0.205795221
4,6,2.45,0.411590441,-0.274393628
5,5,2.45,0.342992034,-0.342992034
1,9,2.5,0.639370605,-0.071041178
2,8,2.5,0.568329427,-0.142082357
3,7,2.5,0.497288248,-0.213123535
4,6,2.5,0.42624707,-0.284164713
5,5,2.5,0.355205892,-0.355205892
1,9,2.55,0.659083614,-0.073231513
2,8,2.55,0.585852101,-0.146463025
3,7,2.55,0.512620588,-0.219694538
4,6,2.55,0.439389076,-0.292926051
5,5,2.55,0.366157563,-0.366157563
1,9,2.6,0.676851873,-0.075205764
2,8,2.6,0.601646109,-0.150411527
3,7,2.6,0.526440346,-0.225617291
4,6,2.6,0.451234582,-0.300823055
5,5,2.6,0.376028818,-0.376028818
1,9,2.65,0.692938128,-0.076993125
2,8,2.65,0.615945002,-0.153986251
3,7,2.65,0.538951877,-0.230979376
4,6,2.65,0.461958752,-0.307972501
5,5,2.65,0.384965627,-0.384965627
1,9,2.7,0.707557033,-0.078617448
2,8,2.7,0.628939584,-0.157234896
3,7,2.7,0.550322136,-0.235852344
4,6,2.7,0.471704688,-0.314469792
5,5,2.7,0.39308724,-0.39308724
1,9,2.75,0.720886478,-0.080098498
2,8,2.75,0.640787981,-0.160196995
3,7,2.75,0.560689483,-0.240295493
4,6,2.75,0.480590986,-0.32039399
5,5,2.75,0.400492488,-0.400492488
1,9,2.8,0.733075678,-0.081452853
2,8,2.8,0.651622825,-0.162905706
3,7,2.8,0.570169972,-0.244358559
4,6,2.8,0.488717119,-0.325811412
5,5,2.8,0.407264266,-0.407264266
1,9,2.85,0.744251085,-0.082694565
2,8,2.85,0.66155652,-0.16538913
3,7,2.85,0.578861955,-0.248083695
4,6,2.85,0.49616739,-0.33077826
5,5,2.85,0.413472825,-0.413472825
1,9,2.9,0.754520826,-0.083835647
2,8,2.9,0.670685179,-0.167671295
3,7,2.9,0.586849531,-0.251506942
4,6,2.9,0.503013884,-0.335342589
5,5,2.9,0.419178237,-0.419178237
1,9,2.95,0.763978075,-0.084886453
2,8,2.95,0.679091622,-0.169772905
3,7,2.95,0.594205169,-0.254659358
4,6,2.95,0.509318716,-0.339545811
5,5,2.95,0.424432264,-0.424432264
1,9,3,0.772703673,-0.085855964
2,8,3,0.686847709,-0.171711927
3,7,3,0.600991746,-0.257567891
4,6,3,0.515135782,-0.343423855
5,5,3,0.429279818,-0.429279818
1,9,3.05,0.78076819,-0.086752021
2,8,3.05,0.694016169,-0.173504042
3,7,3.05,0.607264148,-0.260256063
4,6,3.05,0.520512127,-0.347008085
5,5,3.05,0.433760106,-0.433760106
1,9,3.1,0.788233562,-0.087581507
2,8,3.1,0.700652055,-0.175163014
3,7,3.1,0.613070548,-0.262744521
4,6,3.1,0.525489041,-0.350326028
5,5,3.1,0.437907535,-0.437907535
1,9,3.15,0.795154413,-0.08835049
2,8,3.15,0.706803922,-0.176700981
3,7,3.15,0.618453432,-0.265051471
4,6,3.15,0.530102942,-0.353401961
5,5,3.15,0.441752452,-0.441752452
1,9,3.2,0.801579131,-0.089064348
2,8,3.2,0.712514783,-0.178128696
3,7,3.2,0.623450435,-0.267193044
4,6,3.2,0.534386087,-0.356257391
5,5,3.2,0.445321739,-0.445321739
1,9,3.25,0.807550752,-0.089727861
2,8,3.25,0.717822891,-0.179455723
3,7,3.25,0.62809503,-0.269183584
4,6,3.25,0.538367168,-0.358911446
5,5,3.25,0.448639307,-0.448639307
1,9,3.3,0.813107694,-0.090345299
2,8,3.3,0.722762395,-0.180690599
3,7,3.3,0.632417096,-0.271035898
4,6,3.3,0.542071796,-0.361381197
5,5,3.3,0.451726497,-0.451726497
1,9,3.35,0.818284364,-0.090920485
2,8,3.35,0.727363879,-0.18184097
3,7,3.35,0.636443394,-0.272761455
4,6,3.35,0.545522909,-0.36368194
5,5,3.35,0.454602425,-0.454602425
1,9,3.4,0.823111674,-0.091456853
2,8,3.4,0.731654821,-0.182913705
3,7,3.4,0.640197969,-0.274370558
4,6,3.4,0.548741116,-0.365827411
5,5,3.4,0.457284263,-0.457284263
1,9,3.45,0.827617475,-0.091957497
2,8,3.45,0.735659978,-0.183914994
3,7,3.45,0.643702481,-0.275872492
4,6,3.45,0.551744983,-0.367829989
5,5,3.45,0.459787486,-0.459787486
1,9,3.5,0.831826927,-0.092425214
2,8,3.5,0.739401713,-0.184850428
3,7,3.5,0.646976499,-0.277275642
4,6,3.5,0.554551285,-0.369700856
5,5,3.5,0.462126071,-0.462126071
1,9,3.55,0.835762814,-0.092862535
2,8,3.55,0.742900279,-0.18572507
3,7,3.55,0.650037744,-0.278587605
4,6,3.55,0.557175209,-0.371450139
5,5,3.55,0.464312674,-0.464312674
1,9,3.6,0.839445815,-0.093271757
2,8,3.6,0.746174058,-0.186543514
3,7,3.6,0.652902301,-0.279815272
4,6,3.6,0.559630543,-0.373087029
5,5,3.6,0.466358786,-0.466358786
1,9,3.65,0.842894742,-0.093654971
2,8,3.65,0.74923977,-0.187309943
3,7,3.65,0.655584799,-0.280964914
4,6,3.65,0.561929828,-0.374619885
5,5,3.65,0.468274856,-0.468274856
1,9,3.7,0.846126738,-0.094014082
2,8,3.7,0.752112656,-0.188028164
3,7,3.7,0.658098574,-0.282042246
4,6,3.7,0.564084492,-0.376056328
5,5,3.7,0.47007041,-0.47007041
1,9,3.75,0.849157459,-0.094350829
2,8,3.75,0.754806631,-0.188701658
3,7,3.75,0.660455802,-0.283052486
4,6,3.75,0.566104973,-0.377403315
5,5,3.75,0.471754144,-0.471754144
1,9,3.8,0.852001226,-0.094666803
2,8,3.8,0.757334423,-0.189333606
3,7,3.8,0.662667621,-0.284000409
4,6,3.8,0.568000818,-0.378667212
5,5,3.8,0.473334015,-0.473334015
1,9,3.85,0.854671161,-0.094963462
2,8,3.85,0.759707699,-0.189926925
3,7,3.85,0.664744237,-0.284890387
4,6,3.85,0.569780774,-0.379853849
5,5,3.85,0.474817312,-0.474817312
1,9,3.9,0.857179307,-0.095242145
2,8,3.9,0.761937162,-0.19048429
3,7,3.9,0.666695016,-0.285726436
