beta,n_1,group,s_1,s_2,stable
0.0,1,1.0,0.1,0.1,True
0.0,2,1.0,0.1,0.1,True
0.0,3,1.0,0.1,0.1,True
0.0,4,1.0,0.1,0.1,True
0.0,5,1.0,0.1,0.1,True
0.0,6,1.0,0.1,0.1,True
0.0,7,1.0,0.1,0.1,True
0.0,8,1.0,0.1,0.1,True
0.0,9,1.0,0.1,0.1,True
0.05,1,1.0,0.1,0.1,True
0.05,2,1.0,0.1,0.1,True
0.05,3,1.0,0.1,0.1,True
0.05,4,1.0,0.1,0.1,True
0.05,5,1.0,0.1,0.1,True
0.05,6,1.0,0.1,0.1,True
0.05,7,1.0,0.1,0.1,True
0.05,8,1.0,0.1,0.1,True
0.05,9,1.0,0.1,0.1,True
0.1,1,1.0,0.1,0.1,True
0.1,2,1.0,0.1,0.1,True
0.1,3,1.0,0.1,0.1,True
0.1,4,1.0,0.1,0.1,True
0.1,5,1.0,0.1,0.1,True
0.1,6,1.0,0.1,0.1,True
0.1,7,1.0,0.1,0.1,True
0.1,8,1.0,0.1,0.1,True
0.1,9,1.0,0.1,0.1,True
0.15000000000000002,1,1.0,0.1,0.1,True
0.15000000000000002,2,1.0,0.1,0.1,True
0.15000000000000002,3,1.0,0.1,0.1,True
0.15000000000000002,4,1.0,0.1,0.1,True
0.15000000000000002,5,1.0,0.1,0.1,True
0.15000000000000002,6,1.0,0.1,0.1,True
0.15000000000000002,7,1.0,0.1,0.1,True
0.15000000000000002,8,1.0,0.1,0.1,True
0.15000000000000002,9,1.0,0.1,0.1,True
0.2,1,1.0,0.1,0.1,True
0.2,2,1.0,0.1,0.1,True
0.2,3,1.0,0.1,0.1,True
0.2,4,1.0,0.1,0.1,True
0.2,5,1.0,0.1,0.1,True
0.2,6,1.0,0.1,0.1,True
0.2,7,1.0,0.1,0.1,True
0.2,8,1.0,0.1,0.1,True
0.2,9,1.0,0.1,0.1,True
0.25,1,1.0,0.1,0.1,True
0.25,2,1.0,0.1,0.1,True
0.25,3,1.0,0.1,0.1,True
0.25,4,1.0,0.1,0.1,True
0.25,5,1.0,0.1,0.1,True
0.25,6,1.0,0.1,0.1,True
0.25,7,1.0,0.1,0.1,True
0.25,8,1.0,0.1,0.1,True
0.25,9,1.0,0.1,0.1,True
0.30000000000000004,1,1.0,0.1,0.1,True
0.30000000000000004,2,1.0,0.1,0.1,True
0.30000000000000004,3,1.0,0.1,0.1,True
0.30000000000000004,4,1.0,0.1,0.1,True
0.30000000000000004,5,1.0,0.1,0.1,True
0.30000000000000004,6,1.0,0.1,0.1,True
0.30000000000000004,7,1.0,0.1,0.1,True
0.30000000000000004,8,1.0,0.1,0.1,True
0.30000000000000004,9,1.0,0.1,0.1,True
0.35000000000000003,1,1.0,0.1,0.1,True
0.35000000000000003,2,1.0,0.1,0.1,True
0.35000000000000003,3,1.0,0.1,0.1,True
0.35000000000000003,4,1.0,0.1,0.1,True
0.35000000000000003,5,1.0,0.1,0.1,True
0.35000000000000003,6,1.0,0.1,0.1,True
0.35000000000000003,7,1.0,0.1,0.1,True
0.35000000000000003,8,1.0,0.1,0.1,True
0.35000000000000003,9,1.0,0.1,0.1,True
0.4,1,1.0,0.1,0.1,True
0.4,2,1.0,0.1,0.1,True
0.4,3,1.0,0.1,0.1,True
0.4,4,1.0,0.1,0.1,True
0.4,5,1.0,0.1,0.1,True
0.4,6,1.0,0.1,0.1,True
0.4,7,1.0,0.1,0.1,True
0.4,8,1.0,0.1,0.1,True
0.4,9,1.0,0.1,0.1,True
0.45,1,1.0,0.1,0.1,True
0.45,2,1.0,0.1,0.1,True
0.45,3,1.0,0.1,0.1,True
0.45,4,1.0,0.1,0.1,True
0.45,5,1.0,0.1,0.1,True
0.45,6,1.0,0.1,0.1,True
0.45,7,1.0,0.1,0.1,True
0.45,8,1.0,0.1,0.1,True
0.45,9,1.0,0.1,0.1,True
0.5,1,1.0,0.1,0.1,True
0.5,2,1.0,0.1,0.1,True
0.5,3,1.0,0.1,0.1,True
0.5,4,1.0,0.1,0.1,True
0.5,5,1.0,0.1,0.1,True
0.5,6,1.0,0.1,0.1,True
0.5,7,1.0,0.1,0.1,True
0.5,8,1.0,0.1,0.1,True
0.5,9,1.0,0.1,0.1,True
0.55,1,1.0,0.1,0.1,True
0.55,2,1.0,0.1,0.1,True
0.55,3,1.0,0.1,0.1,True
0.55,4,1.0,0.1,0.1,True
0.55,5,1.0,0.1,0.1,True
0.55,6,1.0,0.1,0.1,True
0.55,7,1.0,0.1,0.1,True
0.55,8,1.0,0.1,0.1,True
0.55,9,1.0,0.1,0.1,True
0.6000000000000001,1,1.0,0.1,0.1,True
