beta,n_1,s_1,s_2,group,stable
0.0,1,0.316,0.316,1.0,True
0.0,2,0.316,0.316,1.0,True
0.0,3,0.316,0.316,1.0,True
0.0,4,0.316,0.316,1.0,True
0.0,5,0.316,0.316,1.0,True
0.04,1,0.316,0.316,1.0,True
0.04,2,0.316,0.316,1.0,True
0.04,3,0.316,0.316,1.0,True
0.04,4,0.316,0.316,1.0,True
0.04,5,0.316,0.316,1.0,True
0.08,1,0.316,0.316,1.0,True
0.08,2,0.316,0.316,1.0,True
0.08,3,0.316,0.316,1.0,True
0.08,4,0.316,0.316,1.0,True
0.08,5,0.316,0.316,1.0,True
0.12,1,0.316,0.316,1.0,True
0.12,2,0.316,0.316,1.0,True
0.12,3,0.316,0.316,1.0,True
0.12,4,0.316,0.316,1.0,True
0.12,5,0.316,0.316,1.0,True
0.16,1,0.316,0.316,1.0,True
0.16,2,0.316,0.316,1.0,True
0.16,3,0.316,0.316,1.0,True
0.16,4,0.316,0.316,1.0,True
0.16,5,0.316,0.316,1.0,True
0.2,1,0.316,0.316,1.0,True
0.2,2,0.316,0.316,1.0,True
0.2,3,0.316,0.316,1.0,True
0.2,4,0.316,0.316,1.0,True
0.2,5,0.316,0.316,1.0,True
0.24,1,0.316,0.316,1.0,True
0.24,2,0.316,0.316,1.0,True
0.24,3,0.316,0.316,1.0,True
0.24,4,0.316,0.316,1.0,True
0.24,5,0.316,0.316,1.0,True
0.28,1,0.316,0.316,1.0,True
0.28,2,0.316,0.316,1.0,True
0.28,3,0.316,0.316,1.0,True
0.28,4,0.316,0.316,1.0,True
0.28,5,0.316,0.316,1.0,True
0.32,1,0.316,0.316,1.0,True
0.32,2,0.316,0.316,1.0,True
0.32,3,0.316,0.316,1.0,True
0.32,4,0.316,0.316,1.0,True
0.32,5,0.316,0.316,1.0,True
0.36,1,0.316,0.316,1.0,True
0.36,2,0.316,0.316,1.0,True
0.36,3,0.316,0.316,1.0,True
0.36,4,0.316,0.316,1.0,True
0.36,5,0.316,0.316,1.0,True
0.4,1,0.316,0.316,1.0,True
0.4,2,0.316,0.316,1.0,True
0.4,3,0.316,0.316,1.0,True
0.4,4,0.316,0.316,1.0,True
0.4,5,0.316,0.316,1.0,True
0.44,1,0.316,0.316,1.0,True
0.44,2,0.316,0.316,1.0,True
0.44,3,0.316,0.316,1.0,True
0.44,4,0.316,0.316,1.0,True
0.44,5,0.316,0.316,1.0,True
0.48,1,0.316,0.316,1.0,True
0.48,2,0.316,0.316,1.0,True
0.48,3,0.316,0.316,1.0,True
0.48,4,0.316,0.316,1.0,True
0.48,5,0.316,0.316,1.0,True
0.52,1,0.316,0.316,1.0,True
0.52,2,0.316,0.316,1.0,True
0.52,3,0.316,0.316,1.0,True
0.52,4,0.316,0.316,1.0,True
0.52,5,0.316,0.316,1.0,True
0.56,1,0.316,0.316,1.0,True
0.56,2,0.316,0.316,1.0,True
0.56,3,0.316,0.316,1.0,True
0.56,4,0.316,0.316,1.0,True
0.56,5,0.316,0.316,1.0,True
0.6,1,0.316,0.316,1.0,True
0.6,2,0.316,0.316,1.0,True
0.6,3,0.316,0.316,1.0,True
0.6,4,0.316,0.316,1.0,True
0.6,5,0.316,0.316,1.0,True
0.64,1,0.316,0.316,1.0,True
0.64,2,0.316,0.316,1.0,True
0.64,3,0.316,0.316,1.0,True
0.64,4,0.316,0.316,1.0,True
0.64,5,0.316,0.316,1.0,True
0.68,1,0.316,0.316,1.0,True
0.68,2,0.316,0.316,1.0,True
0.68,3,0.316,0.316,1.0,True
0.68,4,0.316,0.316,1.0,True
0.68,5,0.316,0.316,1.0,True
0.72,1,0.316,0.316,1.0,True
0.72,2,0.316,0.316,1.0,True
0.72,3,0.316,0.316,1.0,True
0.72,4,0.316,0.316,1.0,True
0.72,5,0.316,0.316,1.0,True
0.76,1,0.316,0.316,1.0,True
0.76,2,0.316,0.316,1.0,True
0.76,3,0.316,0.316,1.0,True
0.76,4,0.316,0.316,1.0,True
0.76,5,0.316,0.316,1.0,True
0.8,1,0.316,0.316,1.0,True
0.8,2,0.316,0.316,1.0,True
0.8,3,0.316,0.316,1.0,True
0.8,4,0.316,0.316,1.0,True
0.8,5,0.316,0.316,1.0,True
0.84,1,0.316,0.316,1.0,True
0.84,2,0.316,0.316,1.0,True
0.84,3,0.316,0.316,1.0,True
0.84,4,0.316,0.316,1.0,True
0.84,5,0.316,0.316,1.0,True
0.88,1,0.316,0.316,1.0,True
0.88,2,0.316,0.316,1.0,True
0.88,3,0.316,0.316,1.0,True
0.88,4,0.316,0.316,1.0,True
0.88,5,0.316,0.316,1.0,True
0.92,1,0.316,0.316,1.0,True
0.92,2,0.316,0.316,1.0,True
0.92,3,0.316,0.316,1.0,True
0.92,4,0.316,0.316,1.0,True
0.92,5,0.316,0.316,1.0,True
0.96,1,0.316,0.316,1.0,True
0.96,2,0.316,0.316,1.0,True
0.96,3,0.316,0.316,1.0,True
0.96,4,0.316,0.316,1.0,True
0.96,5,0.316,0.316,1.0,True
1.0,1,0.316,0.316,1.0,True
1.0,2,0.316,0.316,1.0,True
1.0,3,0.316,0.316,1.0,True
1.0,4,0.316,0.316,1.0,True
1.0,5,0.316,0.316,1.0,True
1.04,1,0.316,0.316,1.0,True
1.04,2,0.316,0.316,1.0,True
1.04,3,0.316,0.316,1.0,True
1.04,4,0.316,0.316,1.0,True
1.04,5,0.316,0.316,1.0,True
1.08,1,0.316,0.316,1.0,True
1.08,2,0.316,0.316,1.0,True
1.08,3,0.316,0.316,1.0,True
1.08,4,0.316,0.316,1.0,True
1.08,5,0.316,0.316,1.0,True
1.12,1,0.316,0.316,1.0,True
1.12,2,0.316,0.316,1.0,True
1.12,3,0.316,0.316,1.0,True
1.12,4,0.316,0.316,1.0,True
1.12,5,0.316,0.316,1.0,True
1.16,1,0.316,0.316,1.0,True
1.16,2,0.316,0.316,1.0,True
1.16,3,0.316,0.316,1.0,True
1.16,4,0.316,0.316,1.0,True
1.16,5,0.316,0.316,1.0,True
1.2,1,0.316,0.316,1.0,True
1.2,2,0.316,0.316,1.0,True
1.2,3,0.316,0.316,1.0,True
1.2,4,0.316,0.316,1.0,True
1.2,5,0.316,0.316,1.0,True
1.24,1,0.316,0.316,1.0,True
1.24,2,0.316,0.316,1.0,True
1.24,3,0.316,0.316,1.0,True
1.24,4,0.316,0.316,1.0,True
1.24,5,0.316,0.316,1.0,True
1.28,1,0.316,0.316,1.0,True
1.28,2,0.316,0.316,1.0,True
1.28,3,0.316,0.316,1.0,True
1.28,4,0.316,0.316,1.0,True
1.28,5,0.316,0.316,1.0,True
1.32,1,0.316,0.316,1.0,True
1.32,2,0.316,0.316,1.0,True
1.32,3,0.316,0.316,1.0,True
1.32,4,0.316,0.316,1.0,True
1.32,5,0.316,0.316,1.0,True
1.36,1,0.316,0.316,1.0,True
1.36,2,0.316,0.316,1.0,True
1.36,3,0.316,0.316,1.0,True
1.36,4,0.316,0.316,1.0,True
1.36,5,0.316,0.316,1.0,True
1.4000000000000001,1,0.316,0.316,1.0,True
1.4000000000000001,2,0.316,0.316,1.0,True
1.4000000000000001,3,0.316,0.316,1.0,True
1.4000000000000001,4,0.316,0.316,1.0,True
1.4000000000000001,5,0.316,0.316,1.0,True
1.44,1,0.316,0.316,1.0,True
1.44,2,0.316,0.316,1.0,True
1.44,3,0.316,0.316,1.0,True
1.44,4,0.316,0.316,1.0,True
1.44,5,0.316,0.316,1.0,True
1.48,1,0.316,0.316,1.0,True
1.48,2,0.316,0.316,1.0,True
1.48,3,0.316,0.316,1.0,True
1.48,4,0.316,0.316,1.0,True
1.48,5,0.316,0.316,1.0,True
1.52,1,0.316,0.316,1.0,True
1.52,2,0.316,0.316,1.0,True
1.52,3,0.316,0.316,1.0,True
1.52,4,0.316,0.316,1.0,True
1.52,5,0.316,0.316,1.0,True
