beta,n_1,s_1,s_2,group,stable
0.0,1,0.125,0.125,1.0,True
0.0,2,0.125,0.125,1.0,True
0.0,3,0.125,0.125,1.0,True
0.0,4,0.125,0.125,1.0,True
0.0,5,0.125,0.125,1.0,True
0.0,6,0.125,0.125,1.0,True
0.0,7,0.125,0.125,1.0,True
0.0,8,0.125,0.125,1.0,True
0.0,9,0.125,0.125,1.0,True
0.2,1,0.125,0.125,1.0,True
0.2,2,0.125,0.125,1.0,True
0.2,3,0.125,0.125,1.0,True
0.2,4,0.125,0.125,1.0,True
0.2,5,0.125,0.125,1.0,True
0.2,6,0.125,0.125,1.0,True
0.2,7,0.125,0.125,1.0,True
0.2,8,0.125,0.125,1.0,True
0.2,9,0.125,0.125,1.0,True
0.4,1,0.125,0.125,1.0,True
0.4,2,0.125,0.125,1.0,True
0.4,3,0.125,0.125,1.0,True
0.4,4,0.125,0.125,1.0,True
0.4,5,0.125,0.125,1.0,True
0.4,6,0.125,0.125,1.0,True
0.4,7,0.125,0.125,1.0,True
0.4,8,0.125,0.125,1.0,True
0.4,9,0.125,0.125,1.0,True
0.6000000000000001,1,0.125,0.125,1.0,True
0.6000000000000001,2,0.125,0.125,1.0,True
0.6000000000000001,3,0.125,0.125,1.0,True
0.6000000000000001,4,0.125,0.125,1.0,True
0.6000000000000001,5,0.125,0.125,1.0,True
0.6000000000000001,6,0.125,0.125,1.0,True
0.6000000000000001,7,0.125,0.125,1.0,True
0.6000000000000001,8,0.125,0.125,1.0,True
0.6000000000000001,9,0.125,0.125,1.0,True
0.8,1,0.125,0.125,1.0,True
0.8,2,0.125,0.125,1.0,True
0.8,3,0.125,0.125,1.0,True
0.8,4,0.125,0.125,1.0,True
0.8,5,0.125,0.125,1.0,True
0.8,6,0.125,0.125,1.0,True
0.8,7,0.125,0.125,1.0,True
0.8,8,0.125,0.125,1.0,True
0.8,9,0.125,0.125,1.0,True
1.0,1,0.125,0.125,1.0,True
1.0,2,0.125,0.125,1.0,True
1.0,3,0.125,0.125,1.0,True
1.0,4,0.125,0.125,1.0,True
1.0,5,0.125,0.125,1.0,True
1.0,6,0.125,0.125,1.0,True
1.0,7,0.125,0.125,1.0,True
1.0,8,0.125,0.125,1.0,True
1.0,9,0.125,0.125,1.0,True
1.2000000000000002,1,0.125,0.125,1.0,True
1.2000000000000002,2,0.125,0.125,1.0,True
1.2000000000000002,3,0.125,0.125,1.0,True
1.2000000000000002,4,0.125,0.125,1.0,True
1.2000000000000002,5,0.125,0.125,1.0,True
1.2000000000000002,6,0.125,0.125,1.0,True
1.2000000000000002,7,0.125,0.125,1.0,True
1.2000000000000002,8,0.125,0.125,1.0,True
1.2000000000000002,9,0.125,0.125,1.0,True
1.4000000000000001,1,0.125,0.125,1.0,True
1.4000000000000001,2,0.125,0.125,1.0,True
