beta,group,n_1,n_2,s_1,s_2,stable
2.0,1.0,8,0,0.0,0.0,True
2.4,1.0,8,0,0.0,0.0,False
2.8,1.0,8,0,0.0,0.0,False
3.2,1.0,8,0,0.0,0.0,False
3.6,1.0,8,0,0.0,0.0,False
4.0,1.0,8,0,0.0,0.0,False
4.4,1.0,8,0,0.0,0.0,False
4.800000000000001,1.0,8,0,0.0,0.0,False
5.2,1.0,8,0,0.0,0.0,False
5.6,1.0,8,0,0.0,0.0,False
6.0,1.0,8,0,0.0,0.0,False
6.4,1.0,8,0,0.0,0.0,False
6.800000000000001,1.0,8,0,0.0,0.0,False
7.2,1.0,8,0,0.0,0.0,False
7.6000000000000005,1.0,8,0,0.0,0.0,False
8.0,1.0,8,0,0.0,0.0,False
8.4,1.0,8,0,0.0,0.0,False
8.8,1.0,8,0,0.0,0.0,False
9.2,1.0,8,0,0.0,0.0,False
9.600000000000001,1.0,8,0,0.0,0.0,False
10.0,1.0,8,0,0.0,0.0,False
0.0,1.0,8,0,0.0,0.0,True
0.1,1.0,8,0,0.0,0.0,True
0.2,1.0,8,0,0.0,0.0,True
0.30000000000000004,1.0,8,0,0.0,0.0,True
0.4,1.0,8,0,0.0,0.0,True
0.5,1.0,8,0,0.0,0.0,True
0.6000000000000001,1.0,8,0,0.0,0.0,True
0.7000000000000001,1.0,8,0,0.0,0.0,True
0.8,1.0,8,0,0.0,0.0,True
0.9,1.0,8,0,0.0,0.0,True
1.0,1.0,8,0,0.0,0.0,True
1.1,1.0,8,0,0.0,0.0,True
1.2000000000000002,1.0,8,0,0.0,0.0,True
1.3,1.0,8,0,0.0,0.0,True
1.4000000000000001,1.0,8,0,0.0,0.0,True
1.5,1.0,8,0,0.0,0.0,True
1.6,1.0,8,0,0.0,0.0,True
1.7000000000000002,1.0,8,0,0.0,0.0,True
1.8,1.0,8,0,0.0,0.0,True
1.9000000000000001,1.0,8,0,0.0,0.0,True
2.0,1.0,8,0,0.0,0.0,True
2.0,,1,7,1.1208658663107391e-06,-1.6012369518724846e-07,True
2.0,,2,6,1.1208656270009388e-06,-3.736218756669797e-07,True
2.0,,3,5,1.120865292025677e-06,-6.725191752154061e-07,True
2.0,,4,4,1.1208647894556065e-06,-1.1208647894556065e-06,True
2.0,,5,3,1.1208639519462206e-06,-1.8681065865770343e-06,True
2.0,,6,2,1.12086227682712e-06,-3.3625868304813604e-06,True
2.0,,7,1,1.1208572515067986e-06,-7.846000760547591e-06,True
2.05,,1,7,0.2343694154404252,-0.03348134506291788,False
2.05,,2,6,0.2008880703850435,-0.06696269012834784,False
2.05,,3,5,0.16740672532767134,-0.10044403519660282,True
2.05,,4,4,0.13392538027814005,-0.13392538027814005,True
2.05,,5,3,0.10044403524780013,-0.1674067254130002,False
2.05,,6,2,0.06696269022164505,-0.2008880706649352,False
2.05,,7,1,0.033481345029631536,-0.2343694152074208,False
2.1,,1,7,0.3243675159986772,-0.0463382165712396,False
2.1,,2,6,0.2780292994284048,-0.09267643314280158,True
2.1,,3,5,0.2316910828571609,-0.13901464971429656,True
2.1,,4,4,0.18535286628597372,-0.18535286628597372,True
2.1,,5,3,0.13901464971459696,-0.23169108285766166,False
2.1,,6,2,0.09267643314265467,-0.278029299427964,False
2.1,,7,1,0.04633821659970965,-0.3243675161979675,False
2.15,,1,7,0.3890015847870118,-0.05557165496957312,False
2.15,,2,6,0.33342992981755537,-0.11114330993918513,True
2.15,,3,5,0.27785827484793946,-0.16671496490876367,True
2.15,,4,4,0.22228661987833728,-0.22228661987833728,True
2.15,,5,3,0.16671496490873394,-0.2778582748478899,False
2.15,,6,2,0.11114330993914273,-0.3334299298174281,False
2.15,,7,1,0.05557165498255387,-0.3890015848778771,False
2.2,,1,7,0.44007300307653774,-0.06286757186807683,False
2.2,,2,6,0.3772054312084917,-0.1257351437361639,True
2.2,,3,5,0.3143378593404027,-0.1886027156042416,True
2.2,,4,4,0.2514702874723179,-0.2514702874723179,True
2.2,,5,3,0.18860271560423664,-0.3143378593403944,False
2.2,,6,2,0.12573514374053166,-0.3772054312215949,False
2.2,,7,1,0.06286757186843371,-0.440073003079036,False
2.25,,1,7,0.4822905170346901,-0.06889864529067001,False
2.25,,2,6,0.4133918717446107,-0.1377972905815369,True
2.25,,3,5,0.3444932264538407,-0.2066959358723044,True
2.25,,4,4,0.27559458116307106,-0.27559458116307106,True
2.25,,5,3,0.2066959359000222,-0.3444932265000369,False
2.25,,6,2,0.1377972905816479,-0.4133918717449436,False
2.25,,7,1,0.06889864529076853,-0.4822905170353797,False
2.3,,1,7,0.5181355989599236,-0.07401937127998909,False
2.3,,2,6,0.44411622784265103,-0.14803874261421698,True
2.3,,3,5,0.3700968564689272,-0.2220581138813563,True
2.3,,4,4,0.29607748514582544,-0.29607748514582544,True
2.3,,5,3,0.22205811384440272,-0.3700968564073379,False
2.3,,6,2,0.14803874256027744,-0.4441162276808324,False
2.3,,7,1,0.07401937127736836,-0.5181355989415786,False
2.35,,1,7,0.5491193419217415,-0.0784456202745345,False
2.35,,2,6,0.4706737216967753,-0.15689124056559176,True
2.35,,3,5,0.3922281013908309,-0.2353368608344985,True
2.35,,4,4,0.31378248110387313,-0.31378248110387313,True
2.35,,5,3,0.2353368608243537,-0.3922281013739229,False
2.35,,6,2,0.1568912405491635,-0.4706737216474906,False
2.35,,7,1,0.0784456202745815,-0.5491193419220706,False
2.4,,1,7,0.5762484528549869,-0.08232120755071241,False
2.4,,2,6,0.4939272453194278,-0.16464241510647595,True
2.4,,3,5,0.4116060377584017,-0.24696362265504104,True
2.4,,4,4,0.3292848302041348,-0.3292848302041348,False
